City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,78.76,clear sky,-23.1203,-134.9692,People ThankYou
3,Bredasdorp,ZA,70.63,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
7,Carnarvon,AU,77.45,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
13,Victoria,HK,80.65,few clouds,22.2855,114.1577,Mini Hotel Central
21,Sao Filipe,CV,70.68,clear sky,14.8961,-24.4956,Hotel Xaguate
33,Dingle,PH,78.98,few clouds,10.9995,122.6711,SEGAYA PROPERTY
34,Puerto Baquerizo Moreno,EC,78.6,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
35,Atuona,PF,78.73,overcast clouds,-9.8,-139.0333,Villa Enata
39,San Rafael,AR,70.88,clear sky,-34.6177,-68.3301,Hotel San Rafael
41,Buala,SB,78.03,light rain,-8.145,159.5921,Maringe Lagoon Lodge
42,Middelburg,ZA,70.54,light rain,-25.7751,29.4648,Oregon Place Guest House
45,Sulangan,PH,83.03,broken clouds,11.1373,123.7228,Maia's Beach Resort
46,Acapulco,MX,77.59,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
47,Beruwala,LK,80.29,broken clouds,6.4788,79.9828,The Palms Hotel
48,Bathsheba,BB,80.67,overcast clouds,13.2167,-59.5167,Atlantis Hotel
49,Ca Mau,VN,83.16,few clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
56,Labuhan,ID,79.77,light rain,-6.8844,112.2051,DoubleFAG
57,Lorengau,PG,81.39,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
61,Banjar,ID,78.85,overcast clouds,-8.19,114.9675,The Hamsa Resort
62,Omboue,GA,83.79,light rain,-1.5746,9.2618,Hotel Olako
64,Bubaque,GW,78.06,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
65,Hithadhoo,MV,84.02,clear sky,-0.6,73.0833,Scoop Guest House
72,Constantine,DZ,72.81,scattered clouds,36.365,6.6147,Grand Hotel Cirta
74,Bengkulu,ID,80.65,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
75,Palm Springs,US,75.97,overcast clouds,33.8303,-116.5453,The Colony Palms Hotel and Bungalows
