City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,2022-03-26 14:02:51,-23.1203,-134.9692,78.76,74,6,14.25,clear sky
1,Douentza,ML,2022-03-26 14:02:52,14.9951,-2.9517,101.17,19,11,8.01,few clouds
2,Port Elizabeth,ZA,2022-03-26 14:02:53,-33.918,25.5701,69.31,79,74,3.0,broken clouds
3,Bredasdorp,ZA,2022-03-26 14:02:53,-34.5322,20.0403,70.63,58,60,18.21,broken clouds
4,Kapaa,US,2022-03-26 14:02:19,22.0752,-159.319,66.18,66,99,13.09,overcast clouds
5,Hilo,US,2022-03-26 13:57:05,19.7297,-155.09,69.62,87,22,1.99,few clouds
6,Albany,US,2022-03-26 13:59:50,42.6001,-73.9662,45.45,70,100,3.69,overcast clouds
7,Carnarvon,AU,2022-03-26 14:02:54,-24.8667,113.6333,77.45,70,60,12.68,broken clouds
8,Rivers,CA,2022-03-26 14:02:55,50.0308,-100.2403,2.77,93,64,5.28,broken clouds
9,Nishihara,JP,2022-03-26 14:02:55,26.1842,127.7558,67.28,88,75,10.36,light rain
10,Pevek,RU,2022-03-26 14:02:55,69.7008,170.3133,-13.27,96,44,5.95,scattered clouds
11,Hobart,AU,2022-03-26 14:00:12,-42.8794,147.3294,58.26,94,40,4.61,scattered clouds
12,Port Hardy,CA,2022-03-26 14:00:45,50.6996,-127.4199,42.44,93,100,1.72,moderate rain
13,Victoria,HK,2022-03-26 14:00:01,22.2855,114.1577,80.65,88,17,10.0,few clouds
14,Taltal,CL,2022-03-26 14:01:05,-25.4,-70.4833,68.2,68,0,6.4,clear sky
15,Okhotsk,RU,2022-03-26 14:02:56,59.3833,143.3,0.12,99,59,2.28,broken clouds
16,Luqiao,CN,2022-03-26 14:00:25,28.5808,121.3772,58.01,91,99,5.39,overcast clouds
17,Plettenberg Bay,ZA,2022-03-26 14:02:57,-34.0527,23.3716,67.98,71,54,13.71,broken clouds
18,Port Lincoln,AU,2022-03-26 14:02:57,-34.7333,135.8667,63.59,80,5,10.42,clear sky
19,Touros,BR,2022-03-26 14:02:58,-5.1989,-35.4608,85.75,64,100,10.98,moderate rain
20,Latung,PH,2022-03-26 14:02:58,5.5,120.8833,83.16,77,94,11.83,overcast clouds
21,Sao Filipe,CV,2022-03-26 14:02:59,14.8961,-24.4956,70.68,75,2,12.77,clear sky
22,Tasiilaq,GL,2022-03-26 14:02:59,65.6145,-37.6368,28.56,88,52,4.43,broken clouds
23,Busselton,AU,2022-03-26 14:02:59,-33.65,115.3333,64.51,91,100,14.97,overcast clouds
24,Changji,CN,2022-03-26 14:03:00,44.0167,87.3167,50.79,50,0,6.71,clear sky
25,Palmer,US,2022-03-26 14:03:00,42.1584,-72.3287,50.14,61,29,4.0,scattered clouds
26,Marzuq,YE,2022-03-26 14:03:02,14.4,46.4667,85.57,19,6,10.89,clear sky
27,Kamaishi,JP,2022-03-26 14:03:03,39.2667,141.8833,54.25,95,100,26.89,light rain
